Батон Щелковохлеб Щелковский нарезка, 380г
Хлеб Черемушки Бородинский половинка нарезка, 390г
Хлеб Дарницкий формовой нарезка Маркет Перекрёсток, 350г
Хлеб Коломенское Даниловский зерновой, 300г
Хлеб Рижский Хлеб Крестьянский бездрожжевой заварной подовый, 300г
Хлеб Черемушки Столичный часть изделия нарезка, 330г
Хлеб Щелковохлеб тостовый нарезка, 240г
Батон Коломенское с отрубями, 300г
Хлебцы Столовые хрустящие Пр!ст, 110г
Хлебцы хрустящие с клетчаткой и луком Зелёная Линия, 70г
Хлеб Черемушки Зерновик нарезка, 460г
Хлеб Бородинский формовой часть изделия нарезка Маркет Перекрёсток, 370г
Хлебцы хрустящие томатные Зелёная Линия, 70г
Хлеб Harry's American Sandwich сандвичный пшеничный, 470г
Хлеб Сельский, 600г
Хлеб Рижский Хлеб Бородинский формовой, 300г
Хлеб Кукурузный с сыром, 200г
Хлебцы хрустящие с черносливом и изюмом на фруктозе Зелёная Линия, 70г
Хлеб Коломенское Ароматный, 400г
Хлеб Рижский Хлеб Ароматный подовый, 300г
Хлеб Щедрый Дар, 285г
Хлеб Коломенское Бородинский нарезка, 400г
Хлеб формовой, 300г
Хлеб Щелковохлеб Столичный нарезка, 320г
Хлеб Коломенское тостовый злаковый часть изделия нарезка, 250г
Хлеб Рижский Хлеб Деревенский бездрожжевой подовый, 220г
Хлеб Нестерка бездрожжевой, 385г
Хлеб Schar Pan blanco без глютена нарезка, 250г
Хлеб Горчичный, 300г
Хлеб Экстра нарезка, 450г
Хлеб Перекрёсток Французский, 400г
Хлеб Черемушки бездрожжевой нарезка, 320г
Хлеб Щелковохлеб тостовый молочный нарезанный, 240г
Хлеб Ржаной Край зерновой нарезка, 300г
Хлеб Щелковохлеб Ржевский нарезка, 700г
Хлеб Harry's American Sandwich пшеничный с отрубями, 515г
Хлебцы Коломенское зерновые, 260г
Хлеб Щелковохлеб Дарницкий нарезка, 320г
Хлебцы из семян льна с томатом и базиликом Зелёная Линия, 60г
Хлеб Рижский Хлеб Юбилейный бездрожжевой, 205г
Паляница Черемушки Украинская половинка нарезка, 300г
Хлеб Гречневый, 280г
Хлеб Хлебный Дом Марьин заварной, 350г
Хлеб с отрубями, 300г
Хлеб Мариинский с изюмом, 300г
Хлебцы Рисовые клубника-банан Зелёная Линия, 50г
Хлеб Давиль, 235г
Хлебцы Рисовые яблоко-груша Зелёная Линия, 50г
